x1,x2,x3,x4,x5,x6,x7,x8
0.90,0.92,0.90,0.87,0.92,0.93,0.87,0.89
0.85,0.92,0.90,0.87,0.91,0.87,0.92,0.97
0.92,0.87,0.87,0.88,0.88,0.93,0.93,0.89
0.92,0.90,0.93,0.92,0.92,0.87,0.90,0.91
0.88,0.88,0.87,0.93,0.93,0.91,0.87,0.87
0.93,0.87,0.84,0.90,0.86,1.00,0.98,0.90
0.95,0.96,0.88,0.94,0.86,0.96,0.98,0.98
0.82,0.82,0.94,0.88,0.80,0.87,0.88,0.92
0.84,0.92,0.99,0.91,0.86,0.83,0.82,0.83
0.86,0.97,0.88,1.00,0.74,0.97,0.99,0.80
0.84,0.84,1.00,0.95,0.86,0.85,0.91,0.95
0.90,0.98,0.96,0.82,0.88,0.86,0.81,0.89
0.94,0.91,0.86,0.80,0.93,0.87,0.81,0.88
0.85,0.91,0.89,0.96,0.96,0.84,0.99,0.89
0.85,0.87,0.99,0.87,0.90,0.95,0.83,0.85
0.95,0.93,0.95,0.96,0.93,0.90,0.96,0.90
0.92,0.93,0.97,0.91,1.00,0.91,0.94,0.93
0.94,0.90,1.00,0.97,0.93,0.92,0.97,0.95
0.91,0.96,0.97,0.92,0.90,0.93,0.90,0.91
0.93,0.90,0.95,0.95,0.95,0.93,0.92,0.92
0.98,0.97,0.97,0.99,0.97,0.99,0.95,0.93
0.95,0.93,0.95,0.96,0.93,0.90,0.96,0.90
0.99,0.98,0.97,0.98,0.98,0.98,0.96,0.96
0.98,1.00,0.97,0.99,0.97,0.98,0.93,0.94
0.98,0.97,0.99,0.98,0.96,0.99,0.96,0.95
0.97,0.97,0.99,0.98,0.99,0.97,0.97,0.95
0.98,0.98,0.98,0.99,0.98,0.98,0.95,0.95
0.97,0.96,1.00,0.98,0.98,0.98,0.96,0.92
0.99,0.99,0.98,0.97,0.98,1.00,0.92,0.93
0.98,0.98,0.98,0.99,0.98,0.98,0.95,0.95
0.94,0.97,0.97,0.94,0.93,0.94,0.97,0.94
1.00,0.96,0.96,0.94,0.92,0.96,0.91,0.95
0.93,0.92,0.94,0.92,0.96,0.92,0.93,0.90
0.95,0.91,0.95,0.95,0.91,0.95,0.94,0.95
0.95,0.93,0.92,0.95,0.94,0.94,0.95,0.98
