Date,CarstenRainfall,NanuRainfall
01/034,2.7,1.9
02/034,0.0,7.0
03/034,9.7,1.1
04/034,0.0,16.0
05/034,0.0,1.5
06/034,0.0,1.3
07/034,4.5,1.5
08/034,2.0,1.6
09/034,0.0,19.7
10/034,1.1,1.1
11/034,0.0,1.2
12/034,0.0,1.3
13/034,0.0,3.0
14/034,1.9,0.0
15/034,0.0,9.0
16/034,0.0,0.0
17/034,0.0,6.6
18/034,3.6,5.7
19/034,2.7,15.5
20/034,2.5,6.2
21/034,2.4,18.6
22/034,0.0,1.5
23/034,2.6,2.1
24/034,0.0,1.5
25/034,0.0,3.7
26/034,0.0,1.8
27/034,3.3,0.0
28/034,0.0,25.1
01/035,0.0,0.0
02/035,0.0,0.8
03/035,0.0,0.0
04/035,2.3,0.0
05/035,1.8,1.8
06/035,0.0,1.2
07/035,2.8,0.0
08/035,0.0,0.0
09/035,0.0,0.0
10/035,0.0,19.1
11/035,1.9,2.1
12/035,1.5,9.4
13/035,0.0,0.9
14/035,18.4,52.1
15/035,2.7,9.5
16/035,3.3,1.4
17/035,0.0,1.6
18/035,0.0,2.9
19/035,3.0,2.6
20/035,2.8,1.1
21/035,0.0,0.0
22/035,3.6,1.8
23/035,1.6,1.1
24/035,0.0,0.0
25/035,0.0,0.9
26/035,0.0,1.8
27/035,0.0,1.3
28/035,0.0,1.2
01/036,3.2,10.3
02/036,2.3,0.0
03/036,0.0,1.2
04/036,1.7,0.7
05/036,2.2,2.2
06/036,0.0,3.4
07/036,0.0,13.1
08/036,2.8,0.0
09/036,3.7,7.3
10/036,0.0,13.1
11/036,0.0,0.7
12/036,0.0,16.1
13/036,1.9,12.0
14/036,0.0,15.5
15/036,0.0,14.4
16/036,2.3,1.2
17/036,0.0,2.5
18/036,0.0,0.0
19/036,0.0,7.1
20/036,0.0,1.2
21/036,0.0,2.2
22/036,0.0,5.9
23/036,0.0,9.6
24/036,0.0,0.0
25/036,1.6,2.1
26/036,3.5,14.4
27/036,0.0,0.9
28/036,0.0,0.8
01/037,0.0,0.8
02/037,0.0,3.7
03/037,0.0,1.4
04/037,0.0,0.7
05/037,1.3,1.6
06/037,0.0,1.1
07/037,2.1,18.1
08/037,2.8,0.0
09/037,1.8,0.0
10/037,0.0,18.3
11/037,0.0,0.0
12/037,2.7,6.5
13/037,0.0,1.6
14/037,0.0,1.2
15/037,0.0,4.9
16/037,0.0,5.0
17/037,2.9,7.0
18/037,0.0,1.4
19/037,2.4,5.3
20/037,0.0,12.9
21/037,0.0,0.9
22/037,1.8,6.2
23/037,0.0,0.0
24/037,2.8,5.8
25/037,0.0,1.4
26/037,0.0,0.0
27/037,1.8,0.9
28/037,0.0,7.0
01/038,0.0,15.1
02/038,0.0,1.2
03/038,2.9,7.0
04/038,1.3,6.9
05/038,0.0,17.8
06/038,16.1,15.8
07/038,0.0,0.0
08/038,1.5,2.2
09/038,0.0,1.9
10/038,0.0,15.5
11/038,0.0,6.0
12/038,0.0,1.6
13/038,0.0,1.2
14/038,0.0,0.0
15/038,1.5,17.3
16/038,0.0,1.6
17/038,3.8,2.0
18/038,0.0,1.0
19/038,0.0,2.1
20/038,0.0,14.6
21/038,1.7,0.0
22/038,0.0,1.0
23/038,0.0,1.3
24/038,0.0,15.1
25/038,0.0,0.7
26/038,1.6,9.9
27/038,0.0,1.0
28/038,3.9,9.7
01/039,0.0,0.0
02/039,0.0,0.0
03/039,1.9,1.0
04/039,0.0,2.1
05/039,24.2,0.0
06/039,0.0,0.8
07/039,13.2,7.9
08/039,0.0,0.0
09/039,0.0,11.3
10/039,0.0,5.2
11/039,0.0,7.0
12/039,0.0,1.0
13/039,0.0,0.0
14/039,0.0,11.2
15/039,0.0,14.6
16/039,9.0,2.8
17/039,0.0,0.7
18/039,1.4,0.8
19/039,0.0,0.9
20/039,2.9,1.3
21/039,2.2,2.2
22/039,3.2,1.3
23/039,1.4,13.4
24/039,0.0,0.0
25/039,3.0,2.1
26/039,0.0,0.9
27/039,0.0,7.9
28/039,0.0,1.3
01/040,0.0,1.2
02/040,3.7,1.1
03/040,0.0,1.6
04/040,0.0,33.5
05/040,1.7,1.3
06/040,0.0,15.5
07/040,0.0,12.5
08/040,1.2,0.0
09/040,0.0,0.8
10/040,0.0,34.3
11/040,2.8,0.0
12/040,3.1,7.9
13/040,1.3,0.9
14/040,0.0,10.7
15/040,0.0,2.2
16/040,0.0,0.0
17/040,0.0,1.3
18/040,0.0,5.4
19/040,25.4,2.1
20/040,0.0,0.8
21/040,1.9,4.3
22/040,0.0,0.0
23/040,1.4,0.0
24/040,0.0,2.1
25/040,3.4,1.4
26/040,3.0,1.2
27/040,0.0,1.1
28/040,0.0,4.7
01/041,1.8,1.4
02/041,0.0,0.7
03/041,3.3,3.5
04/041,0.0,17.7
05/041,0.0,1.0
06/041,1.1,1.6
07/041,0.0,10.3
08/041,1.9,2.8
09/041,1.4,0.0
10/041,3.8,0.0
11/041,0.0,1.8
12/041,4.2,0.7
13/041,0.0,3.2
14/041,2.7,6.1
15/041,0.0,1.8
16/041,0.0,10.9
17/041,1.8,7.2
18/041,0.0,0.9
19/041,3.3,15.5
20/041,1.6,2.1
21/041,2.9,0.8
22/041,0.0,8.0
23/041,3.3,2.3
24/041,0.0,0.0
25/041,0.0,10.8
26/041,2.5,0.0
27/041,1.3,0.0
