Date,Carsten,Yakunai,Nanu
01/034,14.1,14.1,28.3
02/034,16.5,16.5,27.2
03/034,20.5,20.5,27.5
04/034,21.0,21.0,29.9
05/034,24.4,24.4,33.0
06/034,26.7,26.7,32.0
07/034,30.4,30.4,31.8
08/034,27.5,27.5,30.5
09/034,27.8,27.8,30.5
10/034,26.9,26.9,30.5
11/034,23.1,23.1,28.4
12/034,22.1,22.1,26.3
13/034,19.8,19.8,24.4
14/034,18.5,18.5,23.6
15/034,16.5,16.5,21.9
16/034,18.3,18.3,21.6
17/034,15.7,15.7,21.0
18/034,16.6,16.6,19.7
19/034,12.6,12.6,19.6
20/034,9.4,9.4,17.9
21/034,7.9,7.9,17.5
22/034,7.4,7.4,14.8
23/034,5.3,5.3,17.5
24/034,7.6,7.6,19.5
25/034,11.1,11.1,20.7
26/034,13.3,13.3,22.6
27/034,16.2,16.2,21.7
28/034,17.8,17.8,22.5
01/035,19.1,19.1,24.6
02/035,19.8,19.8,27.3
03/035,23.9,23.9,26.4
04/035,25.3,25.3,28.9
05/035,28.2,28.2,30.2
06/035,31.1,31.1,30.7
07/035,27.0,27.0,31.1
08/035,27.0,27.0,31.8
09/035,26.6,26.6,30.7
10/035,25.2,25.2,30.8
11/035,24.0,24.0,32.6
12/035,24.4,24.4,32.4
13/035,20.0,20.0,30.2
14/035,16.8,16.8,29.5
15/035,17.0,17.0,28.3
16/035,21.1,21.1,28.0
17/035,19.5,19.5,26.6
18/035,18.7,18.7,26.2
19/035,17.1,17.1,26.3
20/035,15.3,15.3,24.2
21/035,9.7,9.7,23.7
22/035,8.9,8.9,22.5
23/035,10.6,10.6,22.3
24/035,13.3,13.3,20.9
25/035,14.3,14.3,22.4
26/035,18.9,18.9,22.9
27/035,17.9,17.9,24.9
28/035,20.7,20.7,25.8
01/036,23.8,23.8,25.5
02/036,25.0,25.0,27.4
03/036,25.4,25.4,27.9
04/036,28.5,28.5,29.7
05/036,28.2,28.2,29.8
06/036,29.1,29.1,29.1
07/036,31.0,31.0,29.5
08/036,31.9,31.9,28.6
09/036,31.6,31.6,28.6
10/036,31.9,31.9,27.1
11/036,27.8,27.8,26.9
12/036,22.7,22.7,26.6
13/036,19.8,19.8,25.7
14/036,19.5,19.5,23.7
15/036,20.4,20.4,23.0
16/036,19.2,19.2,23.3
17/036,17.5,17.5,23.0
18/036,16.2,16.2,21.3
19/036,14.0,14.0,21.3
20/036,12.2,12.2,20.9
21/036,7.8,7.8,20.0
22/036,8.7,8.7,20.2
23/036,6.6,6.6,21.5
